podstatné jmeno;typ;left;kwic;right;kwic pos;kwic pos2;kwic length
ambice;N-V;V Janově jsme se najednou dostaly mezi normální lidi , kteří neměli nějak vysoké ;ambice , někteří se k nám chovali ;hůř , jiní líp , ale maminka tam byla zničená , byla na konci svých sil . ;N-Z-P-P-R-P-V;N-Z:-PZ-P7-RR-PP-V;7
ambice;N-V;""" Podobné ";ambice , jaké chováme ;my , mají i naši soupeři , takže se dá očekávat vyrovnaná soutěž . ;N-Z-P-V;N-Z:-P4-V;4
ambice;N-V;I když se někomu stále může zdát nejpohodlnější , vše nevyhovující srovnat se zemí a postavit nanovo , přece jen bychom měli mít ;ambici chovat ;se jako kulturní země a vážit si našeho dědictví . ;N-V;N-V;2
ambice;N-V;A když to řeknu úplně natvrdo , tak dalším problémem a rizikem je , že i kdyby ČEZ řekl , tady teď začneme stavět , tak se okamžitě najdou minoritní akcionáři , kteří mají své osobní ;ambice , a firmu zažalují , protože se podle nich nebude chovat ;s péčí dobrého hospodáře . ;N-Z-J-N-V-Z-J-P-R-P-V-V;N-Z:-J^-NN-VB-Z:-J,-P7-RR-P5-VB-V;12
ambice;N-V;Budeme - li se za ně schovávat , protežovat je v důsledku vlastních mindráků a proher nebo na ně přenášet své ;ambice a nenaplněné sny , je dost pravděpodobné , že i ony se jednou budou chovat ;stejně ke svým vlastním dětem . ;N-J-A-N-Z-V-D-A-Z-J-J-P-P-D-V-V;N-J^-AA-NN-Z:-VB-Dg-AA-Z:-J,-J^-PP-P7-Db-VB-V;16
ambice;N-V;Čeští sociální demokraté , kteří mají vládní ;ambice , by měli podrobně studovat , jak se řecká a španělská vláda chová ;k tradičním spojencům – odborům . ;N-Z-V-V-D-V-Z-D-P-A-J-A-N-V;N-Z:-Vc-Vp-Dg-Vf-Z:-Db-P7-AA-J^-AA-NN-V;14
ambice;N-V;Dnešní sportovní trackery mají ;ambici vás sledovat celý den a radit vám , jak se chovat ;. ;N-P-V-A-N-J-V-P-Z-D-P-V;N-PP-Vf-AA-NN-J^-Vf-PP-Z:-Db-P7-V;12
ambice;N-V;Nikdy jsem neměla ;ambice chovat ;se jako chlap nebo tak , nedej bůh , vypadat . ;N-V;N-V;2
ambice;N-V;Kdybych měl tehdy výtvarné ;ambice a choval ;se jako byznysmen , všechno mohlo vypadat úplně jinak . ;N-J-V;N-J^-V;3
ambice;N-V;Tím , že UDAR neváhal obětovat osobní ;ambice ve prospěch společného díla , voličům bezděky připomněl , jak ješitně se ostatní opoziční vůdci chovali ;", dokud byli u moci - zejména tehdejší premiérka Tymošenková , spalovaná touhou po prezidentské sesli svého dřívějšího „ oranžového "" spojence Viktora Juščenka . ";N-R-N-A-N-Z-N-D-V-Z-D-D-P-A-A-N-V;N-RV-NN-AA-NN-Z:-NN-Db-Vp-Z:-Db-Dg-P7-AA-AA-NN-V;17
ambice;N-V;""" Nemám ";ambice změnit celou policii , ale chci dát jedincům z jejich řad najevo , že se nechovají ;správně . ;N-V-A-N-Z-J-V-V-N-R-P-N-D-Z-J-P-V;N-Vf-AA-NN-Z:-J^-VB-Vf-NN-RR-PS-NN-Db-Z:-J,-P7-V;17
ambice;N-V;Ale my jsme strana , která má ;ambice chovat ;se jinak . ;N-V;N-V;2
ambice;N-V;Nejde však zdaleka jen o brněnského Hosta ani o ty časopisy , které mají obdobné intelektuální nároky a ;ambice , nicméně k fotografiím se chovají ;stejně nahodile . ;N-Z-J-R-N-P-V;N-Z:-J^-RR-NN-P7-V;7
ambice;N-V;Je naštvaná na celý svět za své nenaplněné ;ambice , strašně by se chtěla vymanit ze stereotypu života , který nesnáší , a i když se někdy chová ;hrozně , vzbuzuje sympatie a člověk by jí ten únik vlastně hodně přál . ;N-Z-D-V-P-V-V-R-N-N-Z-P-V-Z-J-J-J-P-D-V;N-Z:-Dg-Vc-P7-Vp-Vf-RV-NN-NN-Z:-P4-VB-Z:-J^-J^-J,-P7-Db-V;20
ambice;N-V;"Nepředpokládá to nic jiného , než "" jen "" odhodit malicherné a nízké osobní ";ambice , nevraživost a podrazy a chovat ;se skutečně zodpovědně . ;N-Z-N-J-N-J-V;N-Z:-NN-J^-NN-J^-V;7
ambice;N-V;I přes výrazně sportovní ;ambice se BMW M3 chová ;při běžném provozu jako kultivovaný automobil s příjemným cestovním komfortem . ;N-P-B-B-V;N-P7-BN-BN-V;5
ambice;N-V;Dnes je strana úplně jinde – jeden z jejích představitelů , který má ;ambici vést učitele této země , se chová tak , jak by se žádný učitel chovat ;neměl . ;N-V-N-P-N-Z-P-V-D-Z-D-V-P-P-N-V;N-Vf-NN-PD-NN-Z:-P7-VB-Db-Z:-Db-Vc-P7-PW-NN-V;16
ambice;N-V;Na silnici se Tucson chová obstojně : je příjemně komfortní , a pokud nebudete mít sportovní ;ambice , chová ;se docela vypočitatelně . ;N-Z-V;N-Z:-V;3
ambice;N-V;Pokud tady chce vydržet dlouho a má ;ambici být pro lidi stejně důležitá jako teď , tak se podle toho musí chovat ;, “ říká dlouholetý marketingový odborník Petr Topinka . ;N-V-R-N-D-A-J-D-Z-J-P-R-P-V-V;N-Vf-RR-NN-Dg-AA-J,-Db-Z:-J^-P7-RR-PD-VB-V;15
ambice;N-V;I když to byly filmy , které neměly žádné ;ambice , choval ;se k té práci úplně stejně . ;N-Z-V;N-Z:-V;3
ambice;N-V;Pokud mají ;ambice dál chovat ;zvířata , měli by si pořídit druh , který není pro chov tak náročný , předem si získat informace , být v kontaktu s ostatními chovateli , s veterináři a problémy řešit včas . ;N-D-V;N-Db-V;3
ambice;N-V;Nemáme sice tak velké ;ambice jak Baťa , který významnou měrou působil na formování města Zlína , ale je to podle nás ten správný směr , jak by se firma měla chovat ;. ;N-D-N-Z-P-A-N-V-R-N-N-N-Z-J-V-P-R-P-P-A-N-Z-D-V-P-N-V-V;N-Db-NN-Z:-P4-AA-NN-Vp-RR-NN-NN-NN-Z:-J^-VB-PD-RR-PP-PD-AA-NN-Z:-Db-Vc-P7-NN-Vp-V;28
ambice;N-V;Divoká devadesátá léta už jsou dávno pryč , a i když se někomu stále může zdát nejpohodlnější vše nevyhovující srovnat se zemí a postavit nanovo , přece jen bychom měli mít ;ambici chovat ;se jako kulturní země a vážit si našeho dědictví . ;N-V;N-V;2
ambice;N-V;Mladí hokejisté mají ;ambice být nejlepší a chtějí si plnit velké sny , a pokud by se k nim kouč choval ;jako v bavlnce , přerostli by mu přes hlavu . ;N-V-A-J-V-P-V-A-N-Z-J-J-V-P-R-P-N-V;N-Vf-AA-J^-VB-P7-Vf-AA-NN-Z:-J^-J,-Vc-P7-RR-P5-NN-V;18
ambice;N-V;Jeho mužstvo má pohárové ;ambice , ovšem při jarní premiéře se podle toho nechovalo ;- s Duklou Příbram se rozešlo bez branek . ;N-Z-J-R-A-N-P-R-P-V;N-Z:-J^-RR-AA-NN-P7-RR-PD-V;10
ambice;N-V;„ Všechny čtyři týmy mají nejvyšší ;ambice a podle toho se chovají ;, “ říká agent Zídek . ;N-J-R-P-P-V;N-J^-RR-PD-P7-V;6
ambice;N-V;Moc se mi líbilo , jak klub funguje , jaké měl ;ambice a jak se tam ke mně chovali ;. ;N-J-D-P-D-R-P-V;N-J^-Db-P7-Db-RV-PP-V;8
ambice;V-N;Tak jako se Grace musí naučit ;chovat jako kněžna , nedávat na sobě nic znát , pohybovat se elegantně a minimalisticky , zapomenout na herecké ambice ;ve filmech Alfreda Hitchcocka a obětovat se pro rodinu a zemi , tak se pro nás jako diváky na plátně odehrává ještě další , podobné drama . ;V-J-N-Z-V-R-P-P-V-Z-V-P-D-J-D-Z-V-R-A-N;V-J,-NN-Z:-Vf-RR-P6-PW-Vf-Z:-Vf-P7-Dg-J^-Dg-Z:-Vf-RR-AA-N;20
ambice;V-N;Jak tam stála uprostřed parkoviště a Adamovy neobratné výmluvy ji míjely , začala si uvědomovat , že hněv a zklamání , které roky potlačovala , v jejím nitru stále jsou spolu s bezednou studnicí čehosi , v čem – jakmile spálila poslední city , které k Adamovi ještě ;chovala – rozpoznala ambici ;, volání osudu . ;V-Z-V-N;V-Z:-Vp-N;4
ambice;V-N;Kdyby se takhle ;choval nějaký jiný režisér , byl bych si pomyslel , že zpohodlněl , že už nemá ambice ;, že fetuje , nebo že mu stoupla do hlavy sláva . ;V-P-A-N-Z-V-V-P-V-Z-J-V-Z-J-D-V-N;V-PZ-AA-NN-Z:-Vp-Vc-P7-Vp-Z:-J,-Vp-Z:-J,-Db-VB-N;17
ambice;V-N;Mohu zaručit , jak se budu ;chovat já sama v případě , že Pavel Bém by měl nějaké politické ambice ;. ;V-P-P-R-N-Z-J-N-N-V-V-P-A-N;V-PP-PL-RR-NN-Z:-J,-NN-NN-Vc-Vp-PZ-AA-N;14
ambice;V-N;Kdybychom žili v modelu přímé volby , tak bych se ;choval výrazně odlišným způsobem a prezidentské ambice ;, plány , záměry bych dával najevo úplně jiným způsobem , než to dělám teď . ;V-D-A-N-J-A-N;V-Dg-AA-NN-J^-AA-N;7
ambice;V-N;Dovolme si krátce spekulovat – kdyby byla strana personálně i ideově silnější , zřejmě by se nyní ;chovala racionálně a nenechala by triumfovat individuální mocenské ambice ;Rathových pohrobků . ;V-D-J-V-V-V-A-A-N;V-Dg-J^-Vp-Vc-Vf-AA-AA-N;9
ambice;V-N;Ženy se také ke svým partnerům ;chovají majetnicky , zejména k těm , co mají vyšší postavení nebo ambice ;. ;V-D-Z-T-R-P-Z-P-V-A-N-J-N;V-Dg-Z:-TT-RR-PD-Z:-PQ-VB-AA-NN-J^-N;13
ambice;V-N;Z toho , jak se ;chovají při jednáních se zprostředkovatelkami , když je jim praktická práce nabídnuta , lze usuzovat , že tyto ambice ;v nich pěstují iněkteré školy . ;V-R-N-R-N-Z-J-V-P-A-N-V-Z-D-V-Z-J-P-N;V-RR-NN-RV-NN-Z:-J,-VB-PP-AA-NN-Vs-Z:-Db-Vf-Z:-J,-PD-N;19
ambice;V-N;Učitelka nabádající dívky k pozornému sledování každého , kdo by se ;"choval "" divně "" , má v bitvě velké ambice ";, leč mezi kantory ani dětmi není zrovna oblíbený pedagog . ;V-Z-D-Z-Z-V-R-N-A-N;V-Z:-Dg-Z:-Z:-VB-RR-NN-AA-N;10
ambice;V-N;Podobně se ;chová i větší Grand C - Max , byť delší rozvor lehce sníží sportovní ambice ;v zatáčkách . ;V-J-A-N-B-Z-N-Z-J-A-N-D-V-A-N;V-J^-AA-NN-BN-Z0-NN-Z:-J,-AA-NN-Dg-VB-AA-N;15
ambice;V-N;neumí si udržet práci a ;chová se jako zvíře , ale má ambice ;. ;V-P-J-N-Z-J-V-N;V-P7-J,-NN-Z:-J^-VB-N;8
ambice;V-N;Úkolem malých států , jako je ten český – bez ohledu na to , že jejich vliv je zanedbatelný – , je ;chovat se tak , aby přinejmenším nezhoršovaly stav světa , pokud nemají ambice ;jej zlepšovat . ;V-P-D-Z-J-T-V-N-N-Z-J-V-N;V-P7-Db-Z:-J,-TT-Vp-NN-NN-Z:-J,-VB-N;13
ambice;V-N;Úředníci radnice se ;chovají neprofesionálně a vybíjejí si na problému čistírny své politické ambice ;. ;V-D-J-V-P-R-N-N-P-A-N;V-Dg-J^-VB-P7-RR-NN-NN-P8-AA-N;11
ambice;V-N;Brutální počínání uniformovaných anglických jednotek , které se v Irsku dvacátých let dvacátého století ;chovaly jako na koloniálním území , povyšuje celý příběh nad jedno historické ohlédnutí a propůjčuje mu metaforické ambice ;směřující k současným válečným konfl iktům , v nichž zdánliví vítězové , jimž rovněž nejsou cizí ukrutnosti , narážejí na ozbrojený odpor . ;V-J-R-A-N-Z-V-A-N-R-C-A-N-J-V-P-A-N;V-J,-RR-AA-NN-Z:-VB-AA-NN-RR-Cl-AA-NN-J^-VB-PH-AA-N;18
ambice;V-N;Dívčin otec ( Robert Duvall ) ;chová koně a má ambice ;vyhrát místní šampionát . ;V-N-J-V-N;V-NN-J^-VB-N;5
ambice;V-N;Možnost , že KSČM dostane největší procento hlasů , by měla přimět Václava Klause , aby se přestal ;chovat jako uražený kluk a uvědomil si , že ještě před několika lety jsme jeho ambice ;cítili jako státnické . ;V-J-A-N-J-V-P-Z-J-D-R-C-N-V-P-N;V-J,-AA-NN-J^-Vp-P7-Z:-J,-Db-RR-Ca-NN-VB-PS-N;16
ambice;V-N;""" Kádr máme určitě tak silný , abychom se ve vyšší soutěži ";"nechovali jako nováček , ale zařadili se do silného středu , "" přiznal ambice ";týmu bývalý vítkovický trenér , který neskrývá spokojenost s podmínkami , jaké v novém angažmá má . ;V-J-N-Z-J-V-P-R-A-N-Z-Z-V-N;V-J,-NN-Z:-J^-Vp-P7-RR-AA-NN-Z:-Z:-Vp-N;14
ambice;V-N;Podle Jürgena Hagemanna z univerzity v Bonnu se Berlín ;chová asertivně , protože rizika v eurozóně ho ohrožují a nedá se tvrdit , že jím zmítají ambice ;stát se hegemonem . ;V-D-Z-J-N-R-N-P-V-J-V-P-V-Z-J-P-V-N;V-Dg-Z:-J,-NN-RR-NN-PH-VB-J^-VB-P7-Vf-Z:-J,-PP-VB-N;18
ambice;V-N;Podle toho se ;chovali , a i když to často mezi mužem a ženou zaskřípalo , přinášel tento vztah radost , byl živnou půdou pro ambice ;i sny a lidé ho chápali jako normální . ;V-Z-J-J-J-P-D-R-N-J-N-V-Z-V-P-N-N-Z-V-A-N-R-N;V-Z:-J^-J^-J,-PD-Dg-RR-NN-J^-NN-Vp-Z:-Vp-PD-NN-NN-Z:-Vp-AA-NN-RR-N;23
ambice;V-N;Říkal jsem , že Lech Wa % % sa ;chová k Václavu Havlovi velké sympatie a že tu nejde o žádné přehnané ambice ;ze strany Wa % % sy či animositu , jak se to snaží naznačit tisk , pátrající po skutečných důvodech , proč vlastně ke schůzce nedošlo . ;V-R-N-N-A-N-J-J-D-V-R-P-A-N;V-RR-NN-NN-AA-NN-J^-J,-Db-VB-RR-PW-AA-N;14
ambice;V-N;Nicméně vím , že mnoho mladých Izraelců ;chová k armádě respekt a naplňují v ní své ambice ;. ;V-R-N-N-J-V-R-P-P-N;V-RR-NN-NN-J^-VB-RR-P5-P8-N;10
ambice;V-N;Otvírat se veřejnosti a ;nechovat se jako sekta , která se s nikým nebaví , “ dodal Šmarda s tím , že takový plán může narazit na ambice ;některých straníků , kteří by přišli o přední místa na kandidátkách . ;V-P-J-N-Z-P-P-R-P-V-Z-Z-V-N-R-P-Z-J-P-N-V-V-R-N;V-P7-J,-NN-Z:-P4-P7-RR-PW-VB-Z:-Z:-Vp-NN-RR-PD-Z:-J,-PD-NN-VB-Vf-RR-N;24
ambice;V-N;Ústí se ;chová jako tým , který nahoře jen čeří vodu a vyšší ambice ;nemá . ;V-J-N-Z-P-D-D-V-N-J-A-N;V-J,-NN-Z:-P4-Db-Db-VB-NN-J^-AA-N;12
ambice;V-N;Nymburk se ;nechová alibisticky a své ambice ;nijak nezastírá . ;V-D-J-P-N;V-Dg-J^-P8-N;5
ambice;V-N;Kamaráda a spolubydlícího na hotelu , jenž ví , jak se ;chovat v krizi a jenž je i přes osobní ambice ;v časovkách ochoten pomoci . ;V-R-N-J-P-V-J-R-A-N;V-RR-NN-J^-PJ-VB-J^-RR-AA-N;10
ambice;V-N;V klíčovém momentu si ale bývalí federální partneři dokázali uvědomit , o co v JAR hrají a jak se musí ;chovat , aby ambice ;k postupu ze skupiny neutopili v nesmyslných půtkách . ;V-Z-J-N;V-Z:-J,-N;4
ambice;V-N;Když teď přemýšlím , jak já bych mohl přispět ke zlepšení politické situace v budoucnu u nás , musím se přiznat , že mě napadá hlavně to , že zůstanu sám sebou , budu se k lidem ;chovat férově a nenechám se ostatními ovlivňovat , teď žádné politické ambice ;zatím nemám . ;V-D-J-V-P-A-V-Z-D-P-A-N;V-Dg-J^-VB-P7-AA-Vf-Z:-Db-PW-AA-N;12
ambice;V-N;Tým ČSSD se k rozpočtu země ;chová jako pouhý dočasný správce , který nemá vyšší ambici ;než čtyři roky svého mandátu nějak překlepat . ;V-J-A-A-N-Z-P-V-A-N;V-J,-AA-AA-NN-Z:-P4-VB-AA-N;10
ambice;V-N;Na silnici se Tucson ;chová obstojně : je příjemně komfortní , a pokud nebudete mít sportovní ambice ;, chová se docela vypočitatelně . ;V-D-Z-V-D-A-Z-J-J-V-V-A-N;V-Dg-Z:-VB-Dg-AA-Z:-J^-J,-VB-Vf-AA-N;13
ambice;V-N;Vypadá - li společenství jako národ , ;chová se jako národ a mluví jako národ , je to národ a má své státoprávní ambice ;. ;V-P-J-N-J-V-J-N-Z-V-P-N-J-V-P-A-N;V-P7-J,-NN-J^-VB-J,-NN-Z:-VB-PD-NN-J^-VB-P8-AA-N;17
ambice;V-N;Paroubkovy včerejší výroky , že se Zeman musí ;chovat jako každý jiný řadový člen ČSSD , respektovat řádně zvolené vedení strany , a když má jiné ambice ;, ucházet se o funkci na stranickém sjezdu , Zemana pobavily . ;V-J-P-A-A-N-B-Z-V-D-A-N-N-Z-J-J-V-A-N;V-J,-PL-AA-AA-NN-BN-Z:-Vf-Dg-AA-NN-NN-Z:-J^-J,-VB-AA-N;19
ambice;V-N;Česko je ztracený ráj , protože nikdo se v něm ;nechová jako v zemi , která má ty nejlepší ambice ;být světová ... ;V-J-R-N-Z-P-V-P-A-N;V-J,-RR-NN-Z:-P4-VB-PD-AA-N;10
ambice;V-N;Už před více než třiceti lety francouzský sociolog Pierre Bourdieu musel tušit , co ministra Drábka napadne , a proto napsal : „ Tím , že redukuje počet svých dětí často až na jediné , ;chová se ( příslušník středních vrstev ) podle systému , který ho vybízí maximalizovat jeho osobní ambice ;. ;V-P-Z-N-A-N-Z-R-N-Z-P-P-V-V-P-A-N;V-P7-Z:-NN-AA-NN-Z:-RR-NN-Z:-P4-PH-VB-Vf-PS-AA-N;17
ambice;V-N;Někteří se proto začali ;chovat s větší opatrností , než je zdrávo : možná by náš kluk  holka na ten elitní gympl měl  měla , raději ale snížíme ambice ;a vsadíme na jistotu . ;V-R-A-N-Z-J-V-D-Z-T-V-P-N-Z-N-R-P-A-N-V-Z-V-Z-D-J-V-N;V-RR-AA-NN-Z:-J,-VB-Dg-Z:-TT-Vc-PS-NN-Z:-NN-RR-PD-AA-NN-Vp-Z:-Vp-Z:-Dg-J^-VB-N;27
ambice;V-N;K manželce se ;chová tak trošku patriarchálně a dceři vnucuje své vlastní ambice ;. ;V-D-D-D-J-N-V-P-A-N;V-Db-Db-Dg-J^-NN-VB-P8-AA-N;10
ambice;V-N;EU se bohužel takto ;chová a zdá se , že u některých evropských politiků jde dokonce o špatně skrývaný záměr Turecku jeho evropské ambice ;natolik znechutit , až od nich samo upustí . ;V-J-V-P-Z-J-R-P-A-N-V-T-R-D-A-N-N-P-A-N;V-J^-VB-P7-Z:-J,-RR-PZ-AA-NN-VB-TT-RR-Dg-AA-NN-NN-PS-AA-N;20
ambice;V-N;Takhle se vyzrálý a sebevědomý člověk ;nechová a už vůbec ne , má - li nějaké ambice ;. ;V-J-D-T-T-Z-V-Z-J-P-N;V-J^-Db-TT-TT-Z:-VB-Z0-J,-PZ-N;11
ambice;V-N;Já jsem se vždycky snažila ;chovat jako profesionální ekonom a nikdy jsem neměla politické ambice ;. ;V-J-A-N-J-D-V-V-A-N;V-J,-AA-NN-J^-Db-VB-Vp-AA-N;10
antipatie;N-V;Nechte své ;antipatie vůči Lucii stranou a chovejte ;se jako chlap , “ zněl další . ;N-R-N-D-J-V;N-RR-NN-Db-J^-V;6
antipatie;N-V;Řešilo se , zda se jedná o politické či osobní ;antipatie , i to , nakolik se komunisté chovají ;jako opozice . ;N-Z-J-P-Z-D-P-N-V;N-Z:-J^-PD-Z:-Db-P7-NN-V;9
antipatie;N-V;""" To není můj styl , "" řekl a nevybíravě zpochybnil Lenerovy trenérské schopnosti . "" K trenéru Murrayovi chovám jisté ";antipatie , vadí mi , že mužstvu ordinuje zákeřnost a chová ;"se nadřazeně , "" vysvětlil Lener a dodal : "" Hráči si ruce po utkání podali , my ne , ostatně nebylo proč . ";N-Z-V-P-Z-J-N-V-N-J-V;N-Z:-VB-PH-Z:-J,-NN-VB-NN-J^-V;11
antipatie;N-V;Proti Romům nemám žádnou osobní ;antipatii , ale museli by se chovat ;slušně . ;N-Z-J-V-V-P-V;N-Z:-J^-Vp-Vc-P7-V;7
antipatie;V-N;Že se budeme ;chovat jako politici a zapomeneme na osobní sympatie a antipatie ;. ;V-J-N-J-V-R-A-N-J-N;V-J,-NN-J^-VB-RR-AA-NN-J^-N;10
antipatie;V-N;Ale ve své praxi , ať se ;chová ke všem zvířatům rovnocenně , bez ohledu na nějaké sympatie či antipatie ;. ;V-R-P-N-D-Z-R-N-R-P-N-J-N;V-RV-PL-NN-Dg-Z:-RR-NN-RR-PZ-NN-J^-N;13
antipatie;V-N;Mluví ze mě relativně čerstvá zkušenost z předloňských společných koncertů s Hanou Hegerovou a Lucií Bílou : zatímco ve studiu znám svého zvukaře , hudebníky , nástroje i svou náladu , v publiku jsou lidé pokaždé jiní , ;"chovají se "" teď "" - nechápu to , ale stávají se jedním člověkem , jednou duší , ve které buď vyvolám sympatii , antipatii ";, anebo lhostejnost . ;V-P-Z-D-Z-Z-V-P-Z-J-V-P-C-N-Z-C-N-Z-R-P-J-V-N-Z-N;V-P7-Z:-Db-Z:-Z:-VB-PD-Z:-J^-VB-P7-Cl-NN-Z:-Cl-NN-Z:-RV-P4-J^-VB-NN-Z:-N;25
antipatie;V-N;Ale ve své praxi , ať se ;chová ke všem zvířatům rovnocenně , bez ohledu na nějaké sympatie či antipatie ;. ;V-R-P-N-D-Z-R-N-R-P-N-J-N;V-RV-PL-NN-Dg-Z:-RR-NN-RR-PZ-NN-J^-N;13
cit;N-V;Člověk pak musí mít samozřejmě takt a ;cit , aby se v jejich duši nechoval ;jako slon v porcelánu . “ ;N-Z-J-P-R-P-N-V;N-Z:-J,-P7-RR-PS-NN-V;8
cit;N-V;""" Má ";cit pro to , jak lidé vnímají politiku , jak se má chovat ;", "" říká Fiabane . ";N-R-P-Z-D-N-V-N-Z-D-P-V-V;N-RR-PD-Z:-Db-NN-VB-NN-Z:-Db-P7-VB-V;13
cit;N-V;Požadavky Jiří Paroubek zrekapituloval takto : má formát Václava Klause , má ;cit v sociálních otázkách asi jako Masaryk a Beneš , chová ;se nadstranicky , je přesvědčeným Evropanem . ;N-R-A-N-T-J-N-J-N-Z-V;N-RR-AA-NN-TT-J,-NN-J^-NN-Z:-V;11
cit;N-V;Nevěřím na křest , na vody Jordánu nebo na takové věci , ale řekla bych , že k horké lázni chovám v podstatě stejné ;city , jaké všichni tihle věřící chovají ;ke svěcené vodě . ;N-Z-P-P-P-N-V;N-Z:-P4-PL-PD-NN-V;7
cit;N-V;Každý má nějaké ;city , něco má rád , k někomu se chová ;hezky , k někomu hnusně . ;N-Z-P-V-A-Z-R-P-P-V;N-Z:-PZ-VB-AC-Z:-RR-PZ-P7-V;10
